,url,source,title,author,text
0,http://dcgazette.com/2015/jim-webb-quits-presidential-race-maybe-democrat-party/,thedcgazette,"Jim Webb Quits Presidential Race, Maybe Democrat Party ⋆ Dc Gazette","['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","Friends of Jim Webb who were in Washington to support his candidacy for the Democratic nomination for president were in for a shock on Tuesday. He dropped out. Not only did he drop out of the race, the former Republican might be dropping out of the Democratic Party. From CNN:

Speaking at the National Press Club in Washington, Webb argued the Democratic Party has moved away from “millions of dedicated, hard-working Americans.” “For this reason, I am withdrawing from any consideration of being the Democratic Party’s nominee for the presidency,” he said. “The very nature of our democracy is under siege due to the power structure and the money that finances both political parities,” Webb said, adding later that it is “time for a new Declaration of Independence — not from an outside power but from the paralysis of a federal system that no longer serves the interests of the vast majority of the American people.”… When asked if he still considers himself a Democrat, the usually blunt Webb said, “We will think about that.” “Some people say I am a Republican who became a Democrat, but that I often sound like a Republican in a room full of Democrats or a Democrat in a room full of Republicans,” Webb said. “Actually, I take that as a compliment.”

Leaving aside that we have a republic, not a democracy in this country, there is no doubt that these words and Webb’s story of being a veteran (Navy) will be attractive to any number of people who are disenchanted with the political establishment as it sits right now. The gridlock in Washington, unfortunately, follows decades of “getting things done” by those who really did not have the country’s best interests at heart and were not interested in truly serving the people. That would make a potential Jim Webb independent run for president potentially dangerous for either of the major parties.

Best of luck to Mr. Webb on his future, and may this patriot find his footing in helping to get the American government back to working for the people.

Comments"
0,http://dcgazette.com/2016/judge-jeanine-shows-us-latest-clintons/,thedcgazette,Judge Jeanine Shows Us The Latest On The Clintons ⋆ Dc Gazette,[],"Judge Jeanine Pirro opens with the observation that newly released emails indicate the power of the State Department was used to show favoritism to Clinton Foundation donors. She welcomes the author of Clinton Cash, Peter Schweizer, an expert on the topic of Clinton corruption.

She notes that some documents that the Clintons had chosen not to release are being forced into the public sphere by a federal judge, Judge Emmit Sullivan. Judge Jeanine asks Mr. Schweizer “What is the latest in terms of the information that we are learning about the Clinton Foundation and that relationship between the Foundation and the State Department, under Hillary Clinton?”

Schweizer has a name for the tactic that is being employed by the Clintons, calling it the Clinton Blur. He explains as being the blurring of lines between their private activities, some of them commercial, some of them related to the Clinton Foundation, and the State Department. They were blurring them and the problem is that ethics laws don’t allow you to blur them.”

Mr. Schweizer states, “The emails that are now coming out as a result of the work of Judicial Watch and also Citizens United, are confirming that, contrary to the agreement that Hillary Clinton made with Barack Obama, promising there would be no overlap between the two, that indeed favors were done and access was given to Clinton Foundation donors by senior State Department officials. The pay to play that he wrote about in Clinton Cash is being exposed and corroborated by the emails.

Judge Jeanine says that what she finds interesting is that “We would not have found out about this, the MOU that was signed and right before Hillary Clinton became Secretary of State, she signed with Barack Obama. She swore that this was not the kind of thing that would happen. Judge Jeanine says, I’m curious as to whether or not, when Hillary handed over her emails that she said were work related, whether or not the email that involved Cheryl Mills and the request for her email addresses we just heard about, was ever turned over.” She asks of Mr. Schweizer, do you know what the answer to that is?

Schweizer says his understanding is that they still have not been turned over. He also notes that Clinton has completely violated two planks of the MOU. He says, “Number one, they said that they were going to turn over the names of all the donors – There are at least 11,000 that he says they have chosen not to disclose, so we still don’t know the names of everyone giving them money.”

They discuss other revelations contained in this latest batch of emails include the relationship with convicted money launderer Gilbert Chagoury, one that was clearly a pay for play with a foreign donor, which is illegal.

The balance of the video once Mr. Schweizer leaves contains an interview with Rosie O’Donnell, something that any decent human being would feel compelled to warn viewers of in advance. Time constraints didn’t allow for her to be edited out. It may not be the original O’Donnell, but it’s close enough to create the same kind of mental distress. It’s all the same after the initial “Dear God No,” and then the quick eye diversion anyway.

Hello Friends and Readers – As a defender of the US Constitution against the globalist Fascists who are attempting to destroy the United States, censorship is an unfortunate reality. Much of the media, including social media, is under the control of the anti-American globalist camp. Please like me on my New Facebook page that I’ve created in response to strangulation censorship. Find me at Stop The Takeover, https://www.facebook.com/StopTheTakeover/ and please follow me on Twitter @RickRWells I’d also appreciate it if you SUBSCRIBE in the right sidebar on my website at http://RickWells.us , as there’s no telling what the America-hating nation pirates will do next. Thanks, Rick

Comments"
0,http://dcgazette.com/2016/hinky-podesta-email-exchange-might-hint-at-scalias-death-before-it-happened/,thedcgazette,Podesta Email Exchange Puts Scalia On Clinton Body Count List ⋆ Dc Gazette,"['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","The 2016 election just got even more weird. Buried in the middle of the latest Wikileaks dump of John Podesta emails (from his gmail account, too) is this exchange:

For some context, the word or words “wetworks” has a very specific meaning in slang. From Wikipedia:

Wetwork is a euphemism for murder or assassination, alluding to spilling blood. The expression “wet work”, as well as the similar “wet job“, “wet affair”, or “wet operation”, are all calques of the euphemism used by the KGB for such activities, mokroye delo (wet dealings).[1] These operations are reputed to have been handled at the KGB by Spetsbureau 13, colorfully known as the “Department of wet affairs”

For those who are not long time political junkies, Steve Elmendorf, according to Jim Hoft of The Gateway Pundit, once worked for former congresscritter of the great State of Missouri Dick Gephardt, who was very powerful in Democratic politics when he was voted out of office.

What makes this exchange hinky is that it happened on February 9. The next death of anyone of consequence in American government was Supreme Court Justice Antonin Scalia at Cibolo Creek Ranch on February 12 or 13 under truly suspicious circumstances. To make matters even more hinky, there is a vineyard adjacent to the complex where Scalia’s body was found.

This coincidence could mean nothing or it could mean everything. From the beginning, Scalia’s death didn’t sit right with a lot of conservatives. He was not really sick, and no autopsy was done. He was embalmed before any investigation happened. He was also one of the few people who was in a position and WILLING to stop the progressive agenda. Not only that, with Chelsea Clinton’s words that now that Scalia was gone, they could move on gun control not even three months later, the whole Scalia death episode is smelling more and more like the KGB wetworks definition.

This little email exchange just adds to the intrigue. Was Scalia assassinated? Good question.

Before my fellow conservatives go off half cocked about the other major conservative figure death of the year – Phyllis Schlafly – this writer has knowledge via close contacts and mutual friends that she died of cancer. It was not unexpected to the family at all. She had not been doing well for quite some time.









Accurate Visits



Comments"
0,http://dcgazette.com/2016/hack-hack-healthy-hillarys-cough-back-watch/,thedcgazette,"HACK, HACK: Healthy Hillary's Cough Is Back","['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","The healthiest woman to ever run for president of the United States FINALLY reappeared on the campaign trail. On Labor Day, Hillary Clinton stepped to the podium in Cleveland, Ohio, to give some sort of stump speech and WHAMO! Guess what returned?

THE COUGH.

Remember the cough? The hacking, nasty, shallow with no ab strength behind it cough that kept the Hildebeast from answering questions from time to time? Well, it BA-ACK.

“Every time I think about Trump, I get allergic.” That’s probably the best joke she’s ever cracked.

To be honest, we out here in the American midwest are experiencing the end of summer mold and ragweed push. A lot of us are allergic, and have stuff stuck in our throats, but we don’t cough for minutes at a time trying unsuccessfully to bring our own bodily defenses under control. That’s an indication that there is something really wrong. Not that this writer is supposed to know that without a medical license.

Granted, today, Mrs. Clinton looks better than she has in a while, and the outfit is not the designer hospital gown she actually wore out of doors last week, but that cough….

All over the “news” punditry and the blogosphere, we on the fruited plain – as well as physicians who have read just what is public about Hillary Clinton’s medical history and care – have been warned by the #NeverTrump sorts and the Democrats that armchair diagnosing is not allowed. Nope. Even those of us who have watched multiple loved ones go downhill are not allowed to ask the question:

WHAT IS WRONG WITH THIS WOMAN?

Well, as a person who is trained in vocal arts, and who has to avoid respiratory diseases around the holidays or be sidelined from the choir, that cough is nothing to sneeze at. People just don’t cough that way without reason. Something is wrong, and one does not need to be her personal physician to figure that out.









MyVisits Counter



Comments"
0,http://dcgazette.com/2016/breaking-news-olympic-gold-medalist-ryan-lochte-gets-gun-head-rio/,thedcgazette,"BREAKING NEWS! Olympic Gold Medalist, Ryan Lochte Gets A Gun To His Head In Rio! ⋆ Dc Gazette","['I Am A Conservative Journalist Who Loves My Country.', 'My Father Was A Lieutenant In The Air Force', 'Received', 'Medals Of Honor.', 'He Flew The', 'Bomber', 'Also Known As The', 'Widowmaker', 'Because It Flew So Slow.', 'He Returned A Mission']","BREAKING NEWS! Olympic Gold Medalist,Ryan Lochte Gets A Gun To His Head In Rio

I often wondered what the contestants of the Olympics do on their down time, if they have any? On this occasion, Sunday, four Americans had a close call with almost getting shot dead.

Lochte and three of his American teammates, Gunnar Bentz, Jack Conger, and Jimmy Feigen, had been out with Brazilian swimmer Thiago Pereira when the terrifying theft took place.

Speaking on Sunday, Lochte says he had a“gun put to his forehead” by one of the muggers. “We got pulled over, in the taxi, and these guys came out with a badge, a police badge, no lights, no nothing just a police badge and they pulled us over,’ Lochte told NBC’s Today Show. ‘They pulled out their guns, they told the other swimmers to get down on the ground — they got down on the ground. I refused, I was like we didn’t do anything wrong, so — I’m not getting down on the ground. ‘And then the guy pulled out his gun, he cocked it, put it to my forehead and he said, “Get down,” and I put my hands up, I was like “whatever.” ‘He took our money, he took my wallet — he left my cell phone, he left my credentials.’ Gunnar Bentz tweeted: ‘We are all safe. Thank you for your love and support. P.s. the gold medal is safe.’

The U.S. Olympics confirmed the robbery and said it WAS carried out by men who posed as policemen.

Club France has a 4,000 person capacity and it was filled with party goers Saturday night. The Olympians were their celebrating a friends birthday party. The four members of the U.S. Olympic Swimming Team had left. ” France House” early Sunday morning in a taxi headed for the Olympic Village,’ USOC spokesperson Patrick Sandusky said in a statement.

‘Their taxi was stopped by individuals posing as armed police officers who demanded the athletes’ money and other personal belongings. All four athletes are safe and cooperating with authorities.









How Many People Visit



Comments"
0,http://dcgazette.com/2016/tx-lt-governor-slams-obama-right-face-police-treatment-asks-question/,thedcgazette,"TX Lt. Governor SLAMS Obama Right to his Face Over Anti-Police Rhetoric, Then Asks One Important Question ⋆ Dc Gazette","['I Am Best Described As A Constitutional Conservative. I Strongly Believe In Constitutionally Limited Government', 'Individual Freedom', 'Personal Responsibility. I Can No Longer Stand On The Sidelines', 'Watch My Country Lose A Game That We Were Built To Master. I Am Speaking Up', 'Please Visit My Blog', 'Speak Up With Me', 'Https', 'Www.Facebook.Com Politicallindsey Ref Hl']","Texas lieutenant governor Dan Patrick is under fire today for being “disrespectful” to the President. In an ABC town hall about race relations and police (video shown below), Patrick told Obama how most police officers feel about him, and why they feel that way.

“I’m concerned that police officers across the country, they know you support law enforcement, of course. But do they really in their heart feel like you’re doing everything you can to protect their lives?” Patrick asked.

Patrick also accused Obama of proclaiming, “Tensions between the police and between black America are only going to get worse.”

“Words matter,” Patrick said. “I would ask you to consider being careful when there is an incident of not being too quick to condemn the police without due process and until the facts are known.”

In case after case, Obama has repeatedly disrespected police officers. When a prominent black professor, Henry Louis Gates, behaved like a screaming moron, Obama immediately announced that it was POLICE who “acted stupidly”.

Obama sent White House representatives to the funeral of Michael Brown, a criminal who tried to kill an officer after committing strong-arm robbery. Once more, Obama has sent representatives to Alton Sterling’s funeral, before knowing all of the facts of the case.

Oh and lets not forget, Obama invited the Black Lives Matter hate group to our White House, even AFTER hearing their chant “What do we want? DEAD COPS! When do we want them? NOW!”

It’s no wonder why so many police officers feel like he is not on their side, HE ISN’T! Patrick ended his comments by asking a question that many Americans want to know.

Why won’t Obama light up the White House in blue to show his support for police?

When the Supreme Court made gay marriage legal, Obama was quick to illuminate the White House in rainbow lights. But when Heroic officers are murdered by a racist animal, Obama shows no sign of support.

Of course, Obama ignored Governor Patrick’s question about the blue lights, just like he ignores our police officers every time they are unjustly attacked.

Watch the entire question and Obama’s ridiculous response below….

hit counter



Comments"
0,"http://dcgazette.com/news,politics,government,/video/",thedcgazette,Video Archives ⋆ Dc Gazette,[],"Deplorable Message EVISCERATES GOP Elitist George Will! George Will, your time is past. Your methods of madness are over. You may be able to write eloquently…"
0,http://donaldtrumppotus45.com/2017/08/01/breaking-trumps-next-likely-executive-action-leaked-and-youre-going-to-love-it/,donaldtrumppotus45,BREAKING! Trump’s Next Likely Executive Action Leaked And You’re Going To LOVE It,['Kathleen Burmaster'],"79 SHARES Share Tweet

President Trump proved early in his presidency that he not only isn’t afraid to use executive action orders, but that he quite likes it. He used executive action orders to walk back many of the most disastrous aspects of ObamaCare, such as penalizing people for not having insurance, as well as to get the Dakota Access Pipeline project moving, so as to remove us from our dependency of Middle Eastern oil. He even used an executive order action to block people from coming into our country from seven known terrorist nations, and try as the left did to block this order, the most important parts of his order were held up by the U.S. Supreme Court.

​

Now, despite several setbacks with his healthcare plan to replace ObamaCare, President Trump is considering, and will more than likely use an executive order to get much of the plan placed into law.

According to a recent article from online media outlet RedState Watcher, Senator Rand Paul (R-KY) leaked that President Trump is considering taking executive action to get his healthcare plan implemented, since it was stalled, yet again. Despite not having done their jobs well, Congress is set to go on the longest August recess they’ve had in sixty years.

Don’t be surprised if a lot of vacations end early and you see a lot of elected officials rushing back to D.C. to be obstructionists."
0,http://donaldtrumppotus45.com/2017/07/31/the-list-is-out-and-its-not-looking-good-for-the-democrats/,donaldtrumppotus45,The List is Out And It’s Not Looking Good for The Democrats!,[],"144 SHARES Share Tweet

While the Democrats are busy with their ‘all things Russian’ witch hunt, they need to take a look at their own actions. Collusion? Man, they have no idea! Look who they’ve been colluding with. At least this list of thirty Democratic leaders.

​

As you no doubt know by now, Debbie Wasserman Schultz’ former IT Staffer, Imran Awan, was arrested at the airport recently attempting to flee to Pakistan. This, after wiring $300k there, no doubt just a small portion of his funds he’d not yet sent, as he was paid $4 million while he worked for the DNC.

Now, here’s where the ‘collusion’ comes in. Why do the Democrats think Awan stole all their information? Why was he hiding the information, and why was he fleeing to Pakistan?

Can you say, “espionage?”

It’s obvious this man was in cahoots with our terrorist enemies, and he was selling the data he stole in regard to our citizens.

Here is the list of Democratic leaders who’d hired this dirt bag in the past. If you live in one of their states, may God have mercy on your personal information.

source- RedState Watcher"
0,http://donaldtrumppotus45.com/2017/07/19/look-whats-dropped-by-70-since-trump-took-office-yep-you-guessed-it/,donaldtrumppotus45,"Look what’s dropped by 70% since Trump took office! Yep, you guessed it!","['Frank Brown', 'Pieter Schoonheim Samara', 'Debra Mulgrew', 'Johnny Dreadnaught']","50 SHARES Share Tweet

President Trump electrified the nation during last year’s Presidential campaign tour. He brought back hope for Americans and our American way of life which had long been dead, especially under the tutelage of recently ousted, failed U.S. President B. Hussein Obama, who proved to be the President for the rest of the world, especially Middle Eastern interests, rather than the President of the United States.

​

One of the things President Trump campaigned on was immigration reform. He promised to build a big, beautiful wall on our border with Mexico to keep undesirable aliens from entering our country illegally, forcing those immigrants that are safe to come here to wait in line, pay their fees, and be fully vetted before coming.

It seems that our neighbors to the south of the border are so intimidated by President Trump’s stance on illegal immigration that the wall hasn’t even been necessary to get them to stop their illegal entering into our great nation.

Check this out, via Sean Spicer’s Twitter account.

Let us know how you feel about this in the comments below."
0,http://donaldtrumppotus45.com/2017/07/12/breaking-wikileaks-just-dropped-a-moab-crooked-hillary-busted-in-collusion-and-it-was-not-russia-its-worse/,donaldtrumppotus45,BREAKING! Wikileaks Just Dropped a MOAB! Crooked Hillary BUSTED In Collusion And It Was NOT Russia- It’s WORSE!,"['Dave Powell', 'Whiskey Tango Foxtrot']","236 SHARES Share Tweet

We’ve all heard it said that the right hand should not let the left hand know what it’s doing. As we all know, if we can draw attention to our neighbors, no one is paying attention to what we’re up to.

​

This has been one of the tactics that took the Clintons from the backwaters of Arkansas to the White House years ago, and nearly got them there again last year.

It seems there is MUCH more to the reasoning behind why the left wants everyone to stay focused on the facade that President Trump may have been colluding with Russia. As it turns out, Crooked Hillary was in collusion with the Chinese Government, this, according to yet another MOAB that WikiLeaks has recently dropped.

From WikiLeaks’ Twitter:

So, while the leftists are going after Donald Trump Jr. for having met with a lawyer who was close to a FORMER Russian Ambassador, Crooked Hillary’s people were actively visiting meeting with an ACTIVE Chinese Ambassador!

Did the meeting take place? What was discussed if it did? Stayed tuned, because the minute we find out more details, we’ll bring them to you!

H/T RedState Watcher"
0,http://donaldtrumppotus45.com/2017/07/12/busted-look-who-the-russian-lawyer-was-sitting-next-to-8-days-after-meeting-with-trump-jr/,donaldtrumppotus45,Busted! Look who the Russian lawyer was sitting next to 8 days after meeting with Trump Jr.,['Jeannette Solinsky'],"141 SHARES Share Tweet

WikiLeaks has just dropped the mother of all bombs on the left wing, anti-Trump and anti-America first media. This newly released, rather, newly pointed out, obvious information completely blows their fake news narrative out of the water.

​

Look closely in the image below, sent out on WikiLeaks’ Twitter, which shows the Russian lawyer, Natalia Veselnitskaya, who met with Donald Trump Jr. sitting right beside B. Hussein Obama’s former U.S. Ambassador to Russia, Michael McFaul only eight days after having met with Trump Jr.

If this doesn’t smell of a setup, nothing else does.

And the image was NOT photo-shopped, because you can see them sitting beside each other in the video below, as well."
